visa_cross_border_indicator,visa_channel_type,visa_eci_indicator,visa_cvv2_result_code,visa_avs_result_code,visa_pos_entry_mode,visa_terminal_capability_code,visa_merchant_category_code,fee_rate,currency
N,card_present,3,U,A,2,3,6012,2.75,USD
N,ecommerce,5,N,U,1,5,4900,2.25,JPY
N,ecommerce,6,M,U,7,3,4900,1.25,GBP
Y,card_present,6,N,Z,5,9,5541,1.5,GBP
Y,ecommerce,2,M,U,1,9,5812,3.0,CAD
N,card_present,4,N,Y,2,9,4411,2.0,EUR
Y,card_present,7,M,U,1,2,5541,2.5,EUR
N,ecommerce,7,N,U,7,3,5812,2.0,CAD
N,ecommerce,2,N,N,1,9,6211,3.5,USD
Y,ecommerce,5,M,N,2,3,5541,2.75,USD
Y,card_present,3,U,Y,2,9,5411,1.5,USD
Y,ecommerce,2,N,Z,5,9,4900,2.0,USD
Y,card_present,5,M,Z,1,5,4900,2.0,GBP
N,card_present,4,M,U,5,1,5411,1.25,GBP
Y,ecommerce,2,N,A,2,3,4900,2.75,CAD
Y,card_present,7,U,A,5,9,5812,1.5,RON
N,card_present,6,U,A,2,9,5541,1.25,USD
Y,ecommerce,2,M,Y,1,3,6211,3.5,GBP
Y,ecommerce,4,N,N,1,9,5541,3.5,RON
N,ecommerce,3,M,Y,7,7,4411,2.0,CAD
N,card_present,7,M,A,1,3,5541,2.0,EUR
N,ecommerce,5,M,Z,1,7,5411,1.75,RON
N,card_present,3,N,N,5,2,4900,1.5,RON
Y,card_present,4,N,U,7,9,4411,2.5,CAD
N,ecommerce,6,M,U,1,1,7995,3.0,EUR
N,card_present,6,U,Y,7,2,5541,1.25,RON
Y,ecommerce,5,U,Z,1,9,5411,2.5,GBP
N,ecommerce,2,U,U,1,5,5411,2.5,GBP
Y,ecommerce,2,M,N,5,1,6211,3.5,RON
N,card_present,4,M,N,7,2,7995,2.25,GBP
N,ecommerce,2,N,Y,5,3,5541,2.25,EUR
Y,card_present,6,U,U,1,5,5812,2.5,CAD
N,ecommerce,7,M,Z,1,3,6012,3.0,JPY
Y,ecommerce,5,U,A,7,7,5411,1.75,CAD
N,card_present,5,N,A,2,5,6012,2.25,AUD
Y,card_present,5,N,A,2,2,7995,3.0,CAD
N,card_present,3,M,Z,7,3,5541,1.75,CAD
Y,ecommerce,7,N,Y,2,7,6012,2.5,USD
N,ecommerce,4,N,Y,2,9,4900,1.5,EUR
N,card_present,7,M,U,5,7,6211,1.25,GBP
N,card_present,6,N,N,7,5,4411,1.75,CAD
N,card_present,5,M,N,7,7,4900,1.25,GBP
N,card_present,4,N,U,5,2,6012,2.5,JPY
N,card_present,6,N,A,2,7,6211,1.75,CAD
Y,ecommerce,6,U,N,1,1,6211,3.5,RON
N,card_present,3,M,Z,7,1,4411,2.25,GBP
Y,card_present,6,M,Y,2,2,5541,1.75,RON
Y,card_present,3,N,A,5,1,6012,3.0,RON
N,card_present,5,U,U,7,1,6211,2.25,JPY
N,card_present,4,N,N,7,1,4411,2.5,CAD
N,ecommerce,6,U,A,7,7,6012,2.0,RON
Y,card_present,6,U,U,1,1,6012,3.5,CAD
Y,card_present,7,N,U,1,7,4411,2.75,JPY
Y,ecommerce,7,M,N,2,5,6211,2.75,USD
Y,card_present,2,U,Y,1,5,6211,3.5,RON
N,ecommerce,4,M,U,2,2,4411,3.0,CAD
N,card_present,3,N,Y,2,3,5411,1.5,USD
N,card_present,3,M,A,1,3,6012,3.0,EUR
Y,card_present,6,M,A,5,3,4411,2.25,AUD
Y,ecommerce,4,M,A,5,2,5541,2.75,CAD
N,ecommerce,7,M,U,1,2,6211,3.0,CAD
Y,ecommerce,4,N,A,5,3,7995,3.5,GBP
N,card_present,7,M,Z,7,7,5541,1.25,EUR
N,ecommerce,6,M,Y,7,1,4900,1.25,EUR
Y,card_present,6,N,A,5,7,5411,1.25,AUD
Y,ecommerce,2,U,Z,5,5,4900,2.25,CAD
N,ecommerce,6,M,U,1,7,5411,1.5,USD
N,card_present,3,U,A,5,7,5541,1.5,CAD
Y,ecommerce,4,U,U,5,7,6211,3.0,EUR
Y,ecommerce,4,M,U,1,2,5411,3.0,EUR
N,ecommerce,7,N,Z,5,7,6211,2.0,USD
Y,card_present,2,U,Z,5,3,6211,3.0,USD
Y,card_present,3,M,N,1,1,6012,3.5,CAD
Y,ecommerce,7,N,U,1,1,5411,2.75,CAD
N,card_present,5,M,Y,1,7,6211,2.0,JPY
Y,card_present,7,N,A,5,2,6012,2.5,CAD
Y,card_present,3,N,A,1,1,4900,2.75,CAD
N,card_present,7,M,Y,2,9,4411,1.25,RON
Y,card_present,6,U,A,2,2,5812,2.25,JPY
Y,ecommerce,2,N,N,1,5,5812,3.5,RON
Y,card_present,6,U,U,1,2,7995,3.5,EUR
N,card_present,6,N,Y,7,3,6012,1.75,GBP
Y,card_present,5,N,N,2,9,4411,2.5,CAD
Y,card_present,6,U,Y,2,9,5541,1.5,RON
N,ecommerce,6,N,Y,2,7,5541,1.5,USD
Y,ecommerce,5,U,N,1,1,7995,3.5,USD
Y,ecommerce,4,M,N,2,1,4411,3.5,EUR
Y,card_present,5,N,U,2,2,4411,3.0,RON
N,ecommerce,4,N,U,7,7,4411,2.5,JPY
N,ecommerce,3,U,N,1,5,6211,3.5,EUR
N,ecommerce,3,N,Z,7,9,4900,1.5,EUR
Y,ecommerce,6,N,Z,5,3,7995,3.0,AUD
N,ecommerce,2,U,U,5,7,4900,1.5,AUD
Y,card_present,5,U,Y,2,7,4900,1.25,USD
Y,card_present,4,N,U,2,1,7995,3.5,USD
N,ecommerce,4,N,N,1,9,5411,2.25,JPY
Y,card_present,4,U,N,1,9,6211,3.5,EUR
Y,ecommerce,4,M,Z,2,1,5541,3.0,EUR
Y,ecommerce,6,N,Z,7,3,7995,3.0,CAD
Y,card_present,2,M,Y,7,7,6211,2.0,GBP
N,card_present,4,N,A,1,1,6211,3.5,AUD
N,card_present,7,M,Z,7,7,5541,1.25,CAD
N,ecommerce,5,U,Z,1,2,4411,3.5,GBP
N,card_present,5,U,Z,1,3,4411,3.0,AUD
N,ecommerce,5,M,U,2,3,5541,2.25,CAD
N,ecommerce,6,N,Z,7,7,5541,1.5,CAD
N,ecommerce,4,U,Y,1,7,5541,2.5,JPY
N,card_present,2,M,Y,7,2,6211,2.0,CAD
N,card_present,2,U,U,2,5,4900,1.5,CAD
N,card_present,5,N,Z,2,7,4411,2.0,EUR
N,ecommerce,3,U,A,5,1,7995,3.0,USD
Y,ecommerce,5,M,Y,7,7,5411,1.25,GBP
N,ecommerce,7,M,Z,1,5,6211,2.75,CAD
Y,ecommerce,7,U,Z,2,3,7995,3.5,JPY
Y,card_present,7,N,A,1,5,6211,3.0,JPY
N,ecommerce,4,N,A,7,5,5812,2.25,AUD
N,ecommerce,3,N,Z,2,7,7995,2.75,JPY
N,card_present,5,M,N,5,7,5812,1.25,RON
N,card_present,7,M,N,7,9,6012,1.25,AUD
Y,ecommerce,2,N,N,5,5,7995,3.5,CAD
N,card_present,2,M,N,5,5,4900,1.25,USD
N,card_present,3,N,N,2,9,6012,2.25,AUD
Y,card_present,2,M,U,1,1,5411,2.5,CAD
N,ecommerce,6,M,Z,5,3,6012,2.25,RON
Y,card_present,5,U,N,5,2,5411,1.75,GBP
Y,ecommerce,3,U,A,1,9,5812,3.5,JPY
N,card_present,2,U,Z,7,3,5812,2.0,USD
Y,ecommerce,4,U,Z,1,9,5812,3.5,USD
Y,card_present,7,M,N,5,9,6211,1.75,RON
Y,card_present,4,U,N,1,2,6012,3.5,AUD
Y,ecommerce,7,U,A,5,7,4900,1.5,JPY
N,card_present,2,U,N,2,1,5812,2.25,AUD
Y,ecommerce,4,M,U,5,9,5812,2.25,JPY
N,ecommerce,2,U,A,1,1,6211,3.5,USD
N,card_present,4,M,N,5,7,5812,1.25,GBP
N,ecommerce,2,U,A,2,9,7995,2.75,JPY
Y,ecommerce,5,M,Z,1,1,6012,3.5,GBP
N,ecommerce,6,N,U,1,2,5541,2.75,GBP
N,card_present,4,U,A,1,9,5541,2.25,RON
N,ecommerce,7,M,Y,5,2,6211,2.0,EUR
Y,card_present,2,M,A,2,3,4900,2.0,USD
Y,ecommerce,6,U,Y,5,2,7995,2.75,USD
Y,ecommerce,3,N,U,1,9,5541,3.5,GBP
Y,card_present,6,M,A,7,3,5411,1.25,USD
N,card_present,6,M,Z,7,3,6012,1.75,JPY
N,card_present,7,N,N,2,7,5812,1.25,CAD
N,card_present,7,N,A,5,9,5812,1.25,USD
Y,card_present,2,M,N,7,1,5812,2.25,AUD
Y,ecommerce,6,U,Y,2,1,5812,2.5,CAD
N,ecommerce,5,N,U,2,2,6012,3.0,AUD
Y,ecommerce,5,U,A,5,2,4411,3.5,GBP
Y,card_present,4,M,A,7,5,4411,2.5,GBP
N,ecommerce,3,U,A,1,2,4411,3.5,RON
N,card_present,5,U,Y,2,5,4900,1.25,AUD
N,card_present,2,N,N,2,1,5541,2.25,USD
N,card_present,5,N,U,1,7,5541,2.0,GBP
N,card_present,7,M,Z,1,9,7995,2.0,CAD
Y,card_present,4,U,Z,1,5,5411,2.5,CAD
N,ecommerce,7,N,U,1,9,6012,2.75,EUR
N,card_present,6,U,Y,2,9,7995,1.5,GBP
Y,ecommerce,5,M,Z,1,1,5812,3.5,EUR
N,card_present,4,N,U,2,7,5411,1.25,EUR
Y,card_present,6,M,A,1,3,5812,2.5,EUR
Y,ecommerce,7,N,U,1,3,6211,3.5,CAD
Y,ecommerce,3,N,A,1,2,5812,3.5,AUD
N,card_present,7,M,N,2,2,4900,1.25,GBP
N,card_present,2,N,U,1,7,5541,2.25,USD
Y,card_present,5,N,N,1,9,4900,2.0,USD
N,card_present,4,N,N,1,9,5812,2.25,GBP
N,card_present,5,N,A,5,1,5812,1.75,USD
Y,ecommerce,3,N,N,1,9,7995,3.5,AUD
Y,ecommerce,6,M,Z,7,1,5541,2.25,GBP
Y,ecommerce,5,N,A,5,3,4900,2.25,CAD
N,card_present,3,M,N,7,7,6211,1.75,RON
Y,card_present,2,U,A,7,2,6211,3.0,GBP
N,ecommerce,5,U,Y,1,7,4411,2.75,USD
Y,card_present,4,N,Y,1,7,4411,3.0,USD
Y,card_present,3,M,Y,5,9,4411,2.0,GBP
N,ecommerce,7,M,Z,7,9,5411,1.25,USD
N,card_present,6,M,N,2,1,4411,2.0,AUD
N,card_present,6,M,A,7,1,6211,1.75,CAD
Y,ecommerce,5,U,Y,5,5,5411,1.75,CAD
N,ecommerce,3,U,A,2,7,6012,2.75,EUR
Y,card_present,6,M,Y,1,2,6012,2.75,USD
N,ecommerce,4,U,A,5,3,5541,2.5,RON
Y,ecommerce,7,N,U,2,1,6012,3.5,RON
Y,ecommerce,4,U,U,5,7,6211,3.0,AUD
N,card_present,2,N,A,2,9,6211,2.25,RON
Y,ecommerce,5,N,U,5,1,7995,3.5,AUD
N,ecommerce,2,N,A,2,5,5812,2.5,GBP
N,ecommerce,6,U,N,2,9,4900,1.25,AUD
Y,ecommerce,3,N,A,1,1,5411,3.5,RON
Y,ecommerce,5,U,N,1,1,4411,3.5,EUR
N,ecommerce,4,M,N,2,7,6012,2.5,RON
N,card_present,6,M,Y,7,5,4900,1.25,USD
Y,card_present,7,M,U,2,9,5812,1.5,EUR
N,ecommerce,6,M,N,5,9,7995,1.75,RON
N,card_present,6,M,U,7,1,5411,1.25,RON
Y,ecommerce,4,U,U,2,1,4900,2.75,JPY
Y,card_present,6,M,U,2,1,6012,2.5,JPY
N,ecommerce,5,N,Z,5,7,6211,2.25,RON
N,ecommerce,6,M,U,2,5,5541,1.75,EUR
Y,card_present,5,U,Y,1,7,4411,2.75,GBP
Y,ecommerce,6,M,U,1,5,5411,2.25,GBP
Y,ecommerce,5,M,U,1,9,6012,3.5,GBP
N,ecommerce,2,M,A,1,2,7995,3.5,GBP
N,ecommerce,4,U,A,2,3,6012,3.5,USD
Y,ecommerce,3,N,U,1,5,5812,3.5,RON
N,ecommerce,6,N,Y,2,5,6211,2.25,AUD
N,ecommerce,3,N,N,7,9,5812,2.0,EUR
Y,card_present,6,M,A,7,2,4900,1.25,USD
Y,card_present,6,M,U,7,7,5812,1.25,AUD
Y,ecommerce,6,M,N,7,2,5812,2.25,AUD
N,card_present,3,U,A,1,9,6012,2.75,USD
N,card_present,7,M,U,5,9,5812,1.25,GBP
Y,card_present,4,U,U,7,7,6012,2.5,GBP
Y,ecommerce,7,U,Y,7,1,6012,2.75,RON
Y,card_present,5,U,Y,5,1,7995,2.5,GBP
N,card_present,3,M,N,5,2,7995,2.25,AUD
N,card_present,5,U,N,7,5,4900,1.25,AUD
N,card_present,5,U,Y,2,7,5411,1.25,RON
N,ecommerce,3,U,A,1,3,6211,3.5,GBP
Y,ecommerce,5,U,A,7,9,5812,2.25,AUD
Y,card_present,4,U,Y,2,3,5541,2.5,USD
N,card_present,3,N,U,7,7,6012,2.0,JPY
N,ecommerce,3,N,N,2,5,5411,2.0,GBP
Y,card_present,2,M,A,1,9,4411,3.0,EUR
N,ecommerce,2,U,A,1,1,7995,3.5,USD
N,card_present,4,N,Z,7,2,6211,2.5,CAD
Y,ecommerce,7,M,U,5,1,6211,2.75,GBP
N,card_present,2,U,N,2,7,5812,1.75,GBP
Y,ecommerce,5,M,U,5,5,5541,2.25,EUR
N,card_present,2,M,N,1,3,6211,3.0,CAD
Y,ecommerce,4,U,U,2,9,6211,3.5,USD
Y,card_present,2,U,N,5,3,4411,3.0,GBP
N,ecommerce,5,M,U,5,7,5411,1.25,JPY
Y,ecommerce,2,N,A,5,1,5812,3.0,EUR
N,ecommerce,4,U,U,5,1,4411,3.0,CAD
N,card_present,6,U,N,1,2,7995,2.75,CAD
N,card_present,4,U,Z,5,3,6211,2.5,USD
N,card_present,7,M,A,5,9,4900,1.25,EUR
Y,card_present,7,N,Y,1,3,5411,2.0,JPY
N,card_present,4,M,N,2,7,7995,2.0,GBP
N,card_present,5,N,U,5,7,4411,1.75,RON
Y,card_present,5,N,Z,1,5,5411,2.25,RON
Y,ecommerce,7,N,A,1,1,7995,3.5,AUD
Y,card_present,7,N,N,2,7,5812,1.75,GBP
N,ecommerce,5,N,A,1,2,5541,3.0,JPY
N,ecommerce,5,U,A,5,7,4900,1.25,CAD
N,card_present,3,M,A,1,9,6211,2.5,GBP
N,card_present,7,M,U,7,7,5541,1.25,RON
Y,card_present,3,U,Z,7,3,5541,2.5,GBP
N,card_present,4,U,Y,1,9,4411,2.5,AUD
Y,ecommerce,2,N,U,7,7,7995,3.0,AUD
N,card_present,7,U,A,7,9,4411,1.5,EUR
N,card_present,6,U,A,7,7,4411,1.5,USD
Y,card_present,5,U,Z,5,9,6012,2.25,GBP
N,card_present,5,M,A,5,5,4411,1.75,AUD
Y,card_present,6,M,U,7,2,4411,2.25,AUD
N,card_present,4,M,U,1,9,7995,2.5,AUD
N,card_present,3,U,N,2,9,5411,1.25,RON
Y,ecommerce,6,M,N,7,1,6211,2.75,GBP
Y,ecommerce,6,N,N,7,9,6211,2.5,JPY
N,card_present,3,M,U,5,5,4411,2.0,GBP
Y,card_present,6,U,A,7,9,4411,2.0,CAD
Y,card_present,7,U,Z,1,9,6012,2.75,USD
N,ecommerce,7,N,Y,7,9,4900,1.25,GBP
Y,ecommerce,5,M,Y,1,2,7995,3.5,JPY
Y,ecommerce,2,M,A,5,3,4900,2.25,RON
N,ecommerce,7,M,A,5,1,6012,2.25,CAD
Y,ecommerce,7,M,N,2,9,7995,2.5,JPY
Y,card_present,7,M,Z,7,7,5541,1.25,JPY
N,card_present,7,M,U,5,9,5541,1.25,AUD
N,ecommerce,5,U,Y,1,5,4900,2.0,GBP
N,card_present,4,U,Z,1,3,4900,2.25,EUR
N,card_present,2,N,Y,7,1,5812,1.75,USD
Y,ecommerce,3,U,N,2,1,6012,3.5,USD
Y,ecommerce,5,N,Z,1,9,5541,3.0,RON
Y,ecommerce,2,U,U,1,5,5541,3.5,JPY
Y,ecommerce,3,U,N,7,1,5812,3.0,JPY
Y,card_present,6,N,Y,7,9,4900,1.25,JPY
Y,card_present,4,M,N,7,3,6012,2.75,AUD
Y,card_present,7,U,N,2,9,4900,1.25,JPY
N,ecommerce,3,N,A,5,7,5541,2.0,USD
N,card_present,5,M,A,2,3,5541,1.75,RON
Y,ecommerce,6,M,Y,1,7,4900,1.75,GBP
N,card_present,7,U,U,1,2,5541,2.25,CAD
Y,card_present,4,U,N,1,5,6211,3.5,RON
N,ecommerce,3,U,Y,2,9,6211,2.5,CAD
Y,ecommerce,3,N,Z,5,1,5812,3.0,CAD
Y,ecommerce,2,U,N,1,3,5541,3.5,AUD
Y,card_present,3,U,A,5,5,6012,2.75,CAD
Y,ecommerce,2,M,A,1,7,5541,3.0,USD
Y,card_present,2,N,A,1,1,6012,3.5,RON
Y,card_present,3,M,N,1,5,5812,2.75,AUD
Y,card_present,3,N,N,5,1,4900,2.0,GBP
N,ecommerce,4,N,Z,7,7,5812,2.0,JPY
N,card_present,7,M,Z,2,9,5411,1.25,AUD
Y,ecommerce,4,U,A,2,3,6211,3.5,AUD
Y,card_present,6,U,A,2,9,5812,1.75,RON
Y,card_present,7,U,Z,2,3,4900,1.75,RON
Y,ecommerce,2,M,Y,1,5,5411,2.5,RON
N,card_present,4,U,N,7,7,4411,2.0,USD
N,ecommerce,5,M,N,7,3,5411,1.5,GBP
N,card_present,4,M,A,5,3,5411,1.25,EUR
N,card_present,4,N,Z,1,3,4900,2.25,GBP
Y,ecommerce,5,N,A,5,9,5541,2.25,RON
N,ecommerce,3,M,N,2,5,6012,2.75,CAD
Y,card_present,7,U,Y,7,7,4411,1.75,USD
N,card_present,3,U,Z,7,5,5812,1.75,AUD
N,card_present,4,M,A,5,2,6211,2.25,CAD
Y,ecommerce,5,U,U,5,5,6012,3.0,USD
Y,ecommerce,3,N,Y,7,9,6211,2.75,GBP
Y,card_present,3,N,Y,5,2,6211,2.75,USD
N,card_present,7,U,Z,2,1,7995,2.25,EUR
N,ecommerce,6,U,Z,1,7,5411,1.75,USD
Y,ecommerce,4,M,A,7,3,6012,3.5,USD
Y,card_present,6,M,U,7,2,6211,2.25,EUR
N,ecommerce,4,N,Y,7,5,5411,1.5,JPY
Y,ecommerce,5,N,Z,2,1,5812,3.0,JPY
Y,ecommerce,7,U,Z,2,9,5541,2.25,JPY
N,ecommerce,2,M,Z,2,1,4900,2.0,GBP
N,card_present,5,U,Z,7,2,5541,1.75,AUD
Y,ecommerce,4,N,Y,2,1,5812,3.0,USD
Y,card_present,3,M,N,7,9,5541,1.75,RON
Y,card_present,4,N,Z,7,2,5812,2.5,CAD
N,card_present,6,M,Z,5,5,5541,1.25,AUD
Y,ecommerce,4,U,U,5,9,5812,2.5,GBP
Y,card_present,6,M,N,5,1,4900,1.25,JPY
N,card_present,4,M,Y,1,2,4900,1.75,JPY
N,card_present,6,N,Z,7,9,4411,1.5,EUR
N,card_present,6,M,N,2,5,7995,1.75,AUD
Y,ecommerce,6,U,N,5,2,6211,3.0,RON
Y,ecommerce,4,N,Z,2,5,4900,2.5,GBP
Y,ecommerce,2,M,N,1,1,5411,3.0,GBP
Y,card_present,6,M,A,1,9,5541,2.0,JPY
Y,card_present,2,N,Y,7,2,4411,2.75,JPY
Y,ecommerce,4,U,N,7,9,5411,2.0,CAD
N,ecommerce,5,U,Z,5,9,5411,1.25,JPY
Y,ecommerce,5,M,Y,7,7,6211,2.25,JPY
N,ecommerce,2,U,A,7,5,5411,1.75,JPY
Y,card_present,6,M,Y,2,9,7995,1.75,AUD
Y,ecommerce,3,M,A,1,7,5541,3.0,CAD
N,card_present,4,N,Y,2,5,5812,1.75,GBP
N,ecommerce,3,N,N,2,5,5812,2.5,JPY
Y,card_present,5,N,N,5,5,6012,2.5,JPY
Y,card_present,6,U,N,5,1,4411,2.5,GBP
Y,card_present,4,N,N,1,1,4900,2.75,EUR
Y,ecommerce,6,U,A,5,9,6211,2.5,GBP
N,card_present,5,U,A,7,5,5411,1.25,USD
Y,card_present,2,M,U,2,7,4900,1.5,RON
N,ecommerce,6,N,Z,7,7,6211,2.0,CAD
N,card_present,5,N,A,7,7,5812,1.25,JPY
Y,card_present,7,U,A,2,5,6012,2.5,GBP
Y,ecommerce,4,N,Y,1,1,5411,3.0,CAD
N,card_present,5,M,N,7,2,6211,2.0,USD
N,card_present,5,U,A,2,1,6211,2.5,GBP
Y,ecommerce,5,M,A,5,7,5411,1.5,CAD
Y,card_present,6,N,U,2,5,4411,2.5,GBP
Y,card_present,5,U,A,1,1,6211,3.5,JPY
N,ecommerce,7,N,Z,2,1,7995,2.75,JPY
Y,card_present,2,N,Z,7,7,4411,2.5,AUD
N,ecommerce,3,N,Z,1,7,4411,3.5,RON
N,card_present,4,N,A,7,7,5411,1.25,AUD
Y,card_present,6,M,A,2,3,4900,1.5,JPY
N,card_present,7,U,N,2,1,5812,1.75,CAD
N,card_present,4,M,U,7,7,6012,1.75,AUD
Y,card_present,2,M,N,2,3,5411,2.0,AUD
N,card_present,7,U,A,2,5,6211,2.0,JPY
Y,ecommerce,2,N,Y,1,3,7995,3.5,GBP
N,ecommerce,5,M,N,7,1,5541,2.0,CAD
N,ecommerce,3,M,N,1,3,6211,3.5,EUR
Y,card_present,2,U,A,5,3,4411,3.0,RON
Y,card_present,2,N,Y,2,1,4411,3.0,AUD
N,card_present,7,M,N,2,1,4411,2.0,AUD
Y,ecommerce,3,U,A,5,5,4900,2.25,AUD
N,ecommerce,4,U,A,7,9,5812,2.0,JPY
Y,card_present,4,N,N,5,1,4411,3.0,RON
N,ecommerce,5,M,Z,7,3,5812,2.0,EUR
Y,card_present,2,U,U,7,7,7995,2.5,GBP
Y,ecommerce,4,U,N,1,3,4900,3.5,JPY
Y,card_present,7,M,A,7,3,5411,1.25,JPY
N,card_present,6,N,N,2,3,5541,1.75,GBP
Y,ecommerce,7,M,A,7,3,5541,2.25,GBP
Y,ecommerce,2,N,Y,2,9,5541,2.5,CAD
Y,ecommerce,7,U,U,2,9,5812,2.25,AUD
Y,ecommerce,4,U,A,5,7,5411,2.0,CAD
N,ecommerce,4,U,N,5,1,5541,2.5,CAD
N,card_present,7,U,U,5,2,5411,1.25,EUR
Y,card_present,3,M,Y,7,3,4900,1.5,RON
Y,ecommerce,6,U,N,5,9,4411,2.5,JPY
Y,card_present,7,N,U,5,1,5541,2.0,RON
N,ecommerce,3,N,N,5,7,5411,1.5,AUD
Y,ecommerce,2,U,A,5,7,5812,2.5,JPY
Y,ecommerce,5,M,N,7,3,4411,3.0,GBP
Y,card_present,7,M,U,5,2,7995,2.25,EUR
N,card_present,6,U,N,1,9,4411,2.25,JPY
N,ecommerce,5,U,A,7,2,4900,1.75,GBP
N,ecommerce,3,U,Z,2,9,4900,1.75,USD
Y,card_present,4,M,Z,5,3,5411,1.75,AUD
N,ecommerce,4,M,Z,2,3,6211,3.0,EUR
